LSOA11CD,medianAge
E01000001,47.0
E01000002,45.0
E01000003,45.0
E01000005,25.0
E01000006,33.0
E01000007,30.0
E01000008,30.0
E01000009,35.0
E01000010,31.0
E01000011,33.0
E01000012,30.0
E01000013,33.0
E01000014,34.0
E01000015,32.0
E01000016,34.0
E01000017,35.0
E01000018,34.0
E01000019,33.0
E01000020,36.0
E01000021,32.0
E01000022,32.0
E01000023,30.0
E01000024,32.0
E01000025,33.0
E01000027,33.0
E01000028,31.0
E01000029,38.0
E01000030,30.0
E01000031,36.0
E01000032,35.0
E01000033,33.0
E01000034,39.0
E01000035,33.0
E01000036,35.0
E01000037,35.0
E01000038,37.0
E01000039,34.0
E01000040,34.5
E01000041,33.0
E01000042,31.0
E01000043,34.0
E01000044,31.0
E01000045,31.0
E01000046,31.0
E01000048,24.0
E01000049,27.0
E01000050,30.0
E01000051,29.0
E01000052,32.0
E01000053,33.0
E01000054,33.0
E01000055,34.0
E01000056,34.0
E01000057,33.0
E01000058,33.0
E01000059,36.0
E01000060,33.0
E01000061,27.0
E01000062,34.0
E01000063,33.0
E01000064,33.0
E01000065,37.0
E01000066,32.0
E01000067,31.0
E01000068,32.0
E01000069,33.0
E01000070,33.0
E01000071,32.0
E01000072,31.0
E01000073,33.0
E01000074,32.0
E01000075,32.0
E01000076,32.0
E01000077,34.0
E01000078,33.0
E01000079,35.0
E01000080,33.0
E01000081,35.0
E01000082,35.0
E01000083,32.0
E01000084,36.0
E01000085,31.0
E01000086,33.0
E01000087,33.0
E01000088,31.0
E01000089,29.0
E01000090,32.0
E01000091,27.0
E01000092,29.0
E01000093,30.0
E01000094,30.0
E01000095,29.0
E01000096,26.0
E01000097,35.0
E01000098,33.0
E01000099,32.0
E01000100,33.0
E01000101,34.0
E01000102,33.0
E01000103,31.0
E01000104,29.0
E01000105,34.0
E01000106,32.0
E01000107,36.0
E01000108,33.0
E01000109,32.0
E01000110,35.0
E01000111,33.0
E01000112,33.0
E01000113,35.0
E01000114,31.0
E01000115,47.0
E01000116,39.0
E01000117,45.0
E01000118,40.0
E01000119,45.0
E01000120,46.0
E01000121,40.0
E01000122,42.0
E01000123,38.0
E01000124,36.0
E01000125,34.0
E01000126,35.0
E01000127,36.0
E01000128,35.0
E01000129,37.0
E01000130,36.5
E01000131,36.0
E01000132,34.0
E01000133,37.0
E01000134,35.0
E01000135,41.0
E01000136,43.0
E01000137,35.0
E01000138,40.0
E01000139,38.0
E01000140,34.0
E01000141,33.0
E01000142,36.0
E01000143,33.0
E01000144,35.0
E01000145,35.0
E01000146,35.0
E01000147,37.0
E01000148,32.0
E01000150,38.0
E01000151,30.0
E01000152,31.0
E01000153,36.0
E01000154,34.0
E01000155,31.0
E01000156,35.0
E01000157,37.0
E01000158,38.0
E01000159,41.0
E01000160,36.0
E01000161,39.0
E01000162,41.0
E01000163,37.0
E01000164,36.0
E01000165,38.0
E01000166,42.0
E01000167,40.0
E01000168,47.0
E01000169,39.0
E01000170,37.0
E01000171,33.0
E01000172,38.0
E01000173,41.0
E01000174,37.0
E01000175,42.0
E01000176,41.0
E01000177,37.0
E01000178,38.5
E01000179,37.0
E01000180,38.0
E01000181,38.0
E01000182,37.0
E01000183,40.0
E01000184,35.0
E01000185,34.0
E01000186,37.0
E01000187,35.0
E01000188,42.0
E01000189,32.0
E01000190,39.0
E01000191,42.0
E01000192,36.0
E01000193,37.0
E01000194,36.0
E01000195,34.0
E01000196,37.0
E01000197,38.0
E01000198,36.0
E01000199,46.0
E01000200,41.0
E01000201,42.0
E01000202,39.0
E01000203,36.0
E01000204,42.0
E01000205,40.0
E01000206,44.5
E01000207,41.0
E01000208,41.0
E01000209,49.0
E01000210,38.0
E01000211,35.0
E01000212,42.0
E01000213,42.0
E01000214,38.0
E01000215,28.0
E01000216,35.0
E01000217,32.0
E01000218,29.0
E01000219,30.0
E01000220,35.0
E01000221,33.0
E01000222,36.0
E01000223,35.0
E01000224,38.0
E01000225,29.0
E01000226,35.0
E01000227,40.0
E01000228,40.0
E01000229,35.0
E01000230,36.0
E01000231,37.0
E01000232,40.0
E01000233,36.0
E01000234,37.0
E01000235,34.0
E01000236,30.0
E01000237,31.0
E01000238,31.0
E01000239,35.0
E01000240,37.0
E01000241,37.0
E01000242,40.0
E01000243,34.0
E01000244,35.0
E01000245,34.0
E01000246,44.0
E01000247,40.0
E01000248,45.0
E01000249,45.0
E01000250,39.0
E01000251,39.0
E01000252,41.0
E01000253,50.0
E01000254,48.0
E01000255,42.0
E01000256,40.0
E01000257,35.0
E01000258,40.0
E01000259,38.0
E01000260,35.0
E01000261,47.0
E01000262,33.0
E01000263,41.0
E01000264,38.0
E01000265,37.0
E01000266,44.0
E01000267,42.0
E01000268,35.0
E01000269,44.0
E01000270,43.0
E01000271,44.0
E01000272,48.0
E01000273,44.5
E01000274,39.0
E01000275,41.0
E01000276,40.0
E01000277,36.0
E01000278,42.0
E01000279,50.0
E01000280,50.0
E01000281,35.0
E01000282,40.0
E01000283,44.0
E01000284,38.0
E01000285,41.0
E01000286,41.0
E01000287,39.0
E01000288,40.0
E01000289,36.0
E01000290,48.0
E01000291,37.0
E01000292,46.0
E01000293,43.0
E01000294,44.0
E01000295,37.0
E01000296,37.0
E01000297,37.0
E01000298,37.0
E01000299,37.0
E01000300,39.0
E01000301,41.0
E01000302,38.0
E01000303,38.0
E01000304,36.0
E01000305,37.0
E01000306,36.0
E01000307,36.0
E01000308,34.0
E01000309,35.0
E01000310,35.0
E01000311,30.0
E01000312,37.0
E01000313,34.0
E01000314,36.0
E01000315,39.0
E01000316,35.0
E01000317,38.0
E01000318,41.0
E01000319,41.0
E01000320,41.0
E01000321,37.0
E01000322,39.0
E01000323,37.0
E01000324,39.0
E01000325,41.0
E01000326,35.0
E01000327,43.0
E01000328,44.0
E01000329,39.0
E01000330,45.0
E01000331,37.0
E01000332,43.0
E01000333,36.0
E01000334,39.5
E01000335,32.0
E01000336,31.0
E01000337,33.0
E01000338,35.0
E01000339,41.0
E01000340,42.0
E01000341,48.0
E01000342,39.0
E01000343,40.0
E01000344,41.0
E01000345,43.0
E01000346,37.0
E01000347,39.0
E01000348,43.0
E01000349,44.0
E01000350,39.0
E01000351,42.0
E01000352,40.0
E01000353,49.0
E01000354,40.0
E01000355,49.0
E01000356,45.0
E01000357,40.0
E01000358,44.0
E01000359,45.0
E01000360,37.0
E01000361,39.0
E01000362,43.0
E01000363,41.0
E01000364,41.0
E01000365,41.0
E01000366,38.0
E01000367,36.0
E01000368,35.5
E01000369,43.0
E01000370,45.0
E01000371,38.0
E01000372,37.0
E01000373,28.0
E01000374,31.0
E01000375,35.0
E01000376,38.0
E01000377,42.0
E01000378,35.0
E01000379,37.0
E01000380,41.0
E01000381,37.0
E01000382,44.0
E01000383,47.0
E01000384,40.0
E01000385,34.0
E01000386,37.0
E01000387,43.0
E01000388,46.0
E01000389,41.0
E01000390,43.0
E01000391,36.0
E01000392,33.0
E01000393,38.0
E01000394,41.0
E01000395,41.0
E01000396,41.0
E01000398,40.0
E01000399,41.0
E01000400,40.0
E01000401,38.0
E01000402,37.0
E01000403,36.0
E01000404,30.0
E01000405,32.0
E01000406,31.5
E01000407,42.0
E01000408,33.0
E01000409,41.0
E01000410,39.0
E01000411,41.0
E01000412,37.0
E01000413,38.0
E01000414,36.0
E01000415,44.0
E01000416,36.0
E01000417,40.0
E01000418,36.0
E01000419,45.0
E01000420,43.0
E01000421,50.0
E01000422,32.5
E01000423,43.0
E01000424,44.0
E01000425,47.0
E01000426,39.0
E01000427,40.0
E01000428,41.0
E01000429,32.0
E01000430,32.0
E01000431,35.0
E01000432,33.0
E01000433,30.0
E01000434,33.0
E01000435,36.0
E01000436,43.0
E01000437,40.0
E01000438,34.0
E01000439,37.0
E01000440,45.0
E01000441,35.0
E01000442,42.0
E01000443,38.0
E01000444,47.0
E01000445,44.0
E01000446,38.0
E01000447,36.0
E01000448,50.0
E01000449,48.0
E01000450,38.0
E01000451,40.0
E01000452,39.0
E01000453,39.0
E01000454,39.0
E01000455,40.0
E01000456,40.0
E01000457,35.0
E01000458,50.0
E01000459,40.0
E01000460,45.0
E01000461,43.0
E01000462,36.0
E01000463,40.0
E01000464,37.0
E01000465,37.0
E01000466,33.0
E01000467,37.0
E01000468,31.0
E01000469,37.0
E01000470,32.0
E01000471,39.0
E01000472,34.0
E01000473,36.0
E01000474,36.0
E01000475,37.0
E01000476,39.0
E01000477,34.0
E01000478,34.0
E01000479,41.0
E01000480,39.0
E01000481,36.0
E01000482,35.0
E01000483,34.0
E01000484,35.0
E01000485,39.0
E01000486,37.0
E01000487,35.0
